"";"digits";"algorithm";"n_neighbors";"metric";"sizes";"digit";"precision";"recall";"f1_score";"support"
"1424";3;"kd_tree";1;"euclidean";20;3;0,93;0,94;0,94;103
"1425";4;"kd_tree";1;"euclidean";20;4;0,95;0,87;0,91;95
"1426";5;"kd_tree";1;"euclidean";20;5;0,91;0,93;0,92;97
"1427";6;"kd_tree";1;"euclidean";20;6;0,98;0,92;0,95;106
"1428";7;"kd_tree";1;"euclidean";20;7;0,84;0,9;0,87;97
"1429";8;"kd_tree";1;"euclidean";20;8;0,96;0,86;0,91;87
"1430";9;"kd_tree";1;"euclidean";20;9;0,92;0,9;0,91;112
"1431";0;"brute";1;"euclidean";20;0;0,96;0,97;0,96;97
"1432";1;"brute";1;"euclidean";20;1;0,79;0,98;0,87;95
"1433";2;"brute";1;"euclidean";20;2;0,99;0,91;0,95;111
"1434";3;"brute";1;"euclidean";20;3;0,93;0,94;0,94;103
"1435";4;"brute";1;"euclidean";20;4;0,95;0,87;0,91;95
"1436";5;"brute";1;"euclidean";20;5;0,91;0,93;0,92;97
"1437";6;"brute";1;"euclidean";20;6;0,98;0,92;0,95;106
"1438";7;"brute";1;"euclidean";20;7;0,84;0,9;0,87;97
"1439";8;"brute";1;"euclidean";20;8;0,96;0,86;0,91;87
"1440";9;"brute";1;"euclidean";20;9;0,92;0,9;0,91;112
"1441";0;"auto";5;"euclidean";20;0;0,97;0,98;0,97;97
"1443";2;"auto";5;"euclidean";20;2;0,98;0,89;0,93;111
"1444";3;"auto";5;"euclidean";20;3;0,92;0,92;0,92;103
"1445";4;"auto";5;"euclidean";20;4;0,95;0,88;0,92;95
"1446";5;"auto";5;"euclidean";20;5;0,97;0,92;0,94;97
"1447";6;"auto";5;"euclidean";20;6;0,98;0,94;0,96;106
"1448";7;"auto";5;"euclidean";20;7;0,85;0,87;0,86;97
"1449";8;"auto";5;"euclidean";20;8;0,96;0,87;0,92;87
"1450";9;"auto";5;"euclidean";20;9;0,96;0,88;0,92;112
"1451";0;"ball_tree";5;"euclidean";20;0;0,97;0,98;0,97;97
"1453";2;"ball_tree";5;"euclidean";20;2;0,98;0,89;0,93;111
"1454";3;"ball_tree";5;"euclidean";20;3;0,92;0,92;0,92;103
"1455";4;"ball_tree";5;"euclidean";20;4;0,95;0,88;0,92;95
"1456";5;"ball_tree";5;"euclidean";20;5;0,97;0,92;0,94;97
"1457";6;"ball_tree";5;"euclidean";20;6;0,98;0,94;0,96;106
"1458";7;"ball_tree";5;"euclidean";20;7;0,85;0,87;0,86;97
"1459";8;"ball_tree";5;"euclidean";20;8;0,96;0,87;0,92;87
"1460";9;"ball_tree";5;"euclidean";20;9;0,96;0,88;0,92;112
"1461";0;"kd_tree";5;"euclidean";20;0;0,97;0,98;0,97;97
"1463";2;"kd_tree";5;"euclidean";20;2;0,98;0,89;0,93;111
"1464";3;"kd_tree";5;"euclidean";20;3;0,92;0,92;0,92;103
"1465";4;"kd_tree";5;"euclidean";20;4;0,95;0,88;0,92;95
"1466";5;"kd_tree";5;"euclidean";20;5;0,97;0,92;0,94;97
"1467";6;"kd_tree";5;"euclidean";20;6;0,98;0,94;0,96;106
"1468";7;"kd_tree";5;"euclidean";20;7;0,85;0,87;0,86;97
"1469";8;"kd_tree";5;"euclidean";20;8;0,96;0,87;0,92;87
"1470";9;"kd_tree";5;"euclidean";20;9;0,96;0,88;0,92;112
"1471";0;"brute";5;"euclidean";20;0;0,97;0,98;0,97;97
"1473";2;"brute";5;"euclidean";20;2;0,99;0,89;0,94;111
"1474";3;"brute";5;"euclidean";20;3;0,92;0,93;0,93;103
"1475";4;"brute";5;"euclidean";20;4;0,95;0,87;0,91;95
"1476";5;"brute";5;"euclidean";20;5;0,97;0,92;0,94;97
"1477";6;"brute";5;"euclidean";20;6;0,97;0,94;0,96;106
"1479";8;"brute";5;"euclidean";20;8;0,97;0,87;0,92;87
"1480";9;"brute";5;"euclidean";20;9;0,96;0,88;0,92;112
"1481";0;"auto";10;"euclidean";20;0;0,97;0,98;0,97;97
"1483";2;"auto";10;"euclidean";20;2;0,98;0,86;0,92;111
"1484";3;"auto";10;"euclidean";20;3;0,91;0,94;0,92;103
"1485";4;"auto";10;"euclidean";20;4;0,94;0,82;0,88;95
"1486";5;"auto";10;"euclidean";20;5;0,94;0,92;0,93;97
"1487";6;"auto";10;"euclidean";20;6;0,96;0,92;0,94;106
"1491";0;"ball_tree";10;"euclidean";20;0;0,97;0,98;0,97;97
"1493";2;"ball_tree";10;"euclidean";20;2;0,98;0,86;0,92;111
"1494";3;"ball_tree";10;"euclidean";20;3;0,91;0,94;0,92;103
"1495";4;"ball_tree";10;"euclidean";20;4;0,94;0,82;0,88;95
"1496";5;"ball_tree";10;"euclidean";20;5;0,94;0,92;0,93;97
"1497";6;"ball_tree";10;"euclidean";20;6;0,96;0,92;0,94;106
"1501";0;"kd_tree";10;"euclidean";20;0;0,97;0,98;0,97;97
"1503";2;"kd_tree";10;"euclidean";20;2;0,98;0,86;0,92;111
"1504";3;"kd_tree";10;"euclidean";20;3;0,91;0,94;0,92;103
"1505";4;"kd_tree";10;"euclidean";20;4;0,94;0,82;0,88;95
"1506";5;"kd_tree";10;"euclidean";20;5;0,94;0,92;0,93;97
"1507";6;"kd_tree";10;"euclidean";20;6;0,96;0,92;0,94;106
"1511";0;"brute";10;"euclidean";20;0;0,97;0,98;0,97;97
"1513";2;"brute";10;"euclidean";20;2;0,99;0,86;0,92;111
"1514";3;"brute";10;"euclidean";20;3;0,91;0,95;0,93;103
"1515";4;"brute";10;"euclidean";20;4;0,94;0,82;0,88;95
